time/iterations,time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,train/explained_variance,train/approx_kl,train/policy_gradient_loss,train/value_loss,train/learning_rate,train/entropy_loss,train/loss,train/clip_fraction,train/clip_range,train/n_updates
32,552,65536,118,-95.5,50.0,0.0,0.006790333,0.0008737610653042794,1265.5340869903564,0.0003,-1.7825655847787858,442.5837097167969,0.119775390625,0.2,310
33,552,67584,122,-93.0,50.0,0.0,0.0077534434,-0.00585665253456682,1294.790913772583,0.0003,-1.7648674022406339,417.7947082519531,0.11611328125,0.2,320
34,551,69632,126,-91.0,50.0,0.0,0.013898622,-0.001236576831433922,1368.5706340789795,0.0003,-1.781666251644492,593.470947265625,0.093505859375,0.2,330
35,551,71680,129,-91.0,50.0,5.364418029785156e-07,0.0034355582,-0.003048058331478387,1324.2692901611329,0.0003,-1.7626291755586863,844.422119140625,0.038818359375,0.2,340
36,551,73728,133,-92.5,50.0,0.0732731819152832,0.0015208736,-0.001722285091818776,1288.452904701233,0.0003,-1.75525889582932,545.7039794921875,0.000830078125,0.2,350
37,550,75776,137,-92.0,50.0,0.09402215480804443,0.00014952698,-0.00025600539811421186,1257.0881286621093,0.0003,-1.760950592532754,758.7398681640625,0.0,0.2,360
38,551,77824,141,-92.5,50.0,0.07235640287399292,0.0005270922,-0.0006068663904443383,1341.0763799667359,0.0003,-1.7617415592074395,511.7982482910156,0.0,0.2,370
39,551,79872,144,-90.5,50.0,0.07810825109481812,0.00079501397,-0.0013531709511880763,1282.1583133697509,0.0003,-1.7595574095845223,706.55615234375,0.0,0.2,380
40,550,81920,148,-92.5,50.0,0.10113269090652466,0.0025078715,-0.0020304155987105332,1373.092957687378,0.0003,-1.7471592545509338,626.764892578125,0.0,0.2,390
41,548,83968,152,-92.5,50.0,0.12294405698776245,0.0019082595,-0.0015785298834089189,1298.1298179626465,0.0003,-1.7415236063301562,687.4401245117188,0.0,0.2,400
42,548,86016,156,-95.5,50.0,0.11927974224090576,0.0024280462,-0.002708314370829612,1292.0451654434205,0.0003,-1.7314524699002505,664.8469848632812,0.0,0.2,410
43,548,88064,160,-94.0,50.0,0.11067849397659302,0.0027171,-0.0031785380269866437,1261.5910711288452,0.0003,-1.7418450873345137,548.106689453125,0.020751953125,0.2,420
44,548,90112,164,-96.0,50.0,0.09189343452453613,0.0020245102,-0.001525048133044038,1306.9114772796631,0.0003,-1.744037064909935,696.6522827148438,0.0,0.2,430
45,548,92160,167,-97.0,50.0,0.12443864345550537,0.006623191,-0.003752616865676828,1245.4188167572022,0.0003,-1.746163197234273,1130.302001953125,0.0068359375,0.2,440
46,548,94208,171,-97.0,50.0,0.13951021432876587,0.006545809,-0.003058299151598476,1287.3996980667114,0.0003,-1.775532104074955,611.45751953125,0.008984375,0.2,450
47,548,96256,175,-95.5,50.0,0.2113727331161499,0.00851673,-0.004933565214741975,1233.6513158798218,0.0003,-1.7444515652954578,582.918701171875,0.03037109375,0.2,460
48,548,98304,179,-93.5,50.0,0.13909435272216797,0.01133652,-0.004956537220277823,1334.3755630493165,0.0003,-1.7840132750570774,508.8310852050781,0.01943359375,0.2,470
49,548,100352,182,-92.0,50.0,0.14182966947555542,0.0050363736,-0.003891960938926786,1383.0865200042724,0.0003,-1.803545133769512,670.6512451171875,0.027880859375,0.2,480
50,548,102400,186,-93.5,50.0,0.1445332169532776,0.0042605074,-0.004363721243862528,1347.6066387176513,0.0003,-1.7943104371428489,367.45281982421875,0.023974609375,0.2,490
51,549,104448,190,-93.5,50.0,0.2011222243309021,0.009942368,-0.005410618844325654,1279.3247396469117,0.0003,-1.7727318808436394,675.3617553710938,0.039990234375,0.2,500
52,549,106496,193,-94.5,50.0,0.16732066869735718,0.008639803,-0.0064452811988303434,1409.8109395980835,0.0003,-1.7249492205679418,686.0418701171875,0.060595703125,0.2,510
53,549,108544,197,-92.5,50.0,0.17524701356887817,0.007943183,-0.0035948260978329928,1337.9032711029054,0.0003,-1.7258418150246144,385.3003845214844,0.030517578125,0.2,520
54,549,110592,201,-94.0,50.0,0.20165103673934937,0.008591441,-0.0046403730608290065,1267.4687705993651,0.0003,-1.7437309354543686,584.8208618164062,0.0234375,0.2,530
55,549,112640,204,-95.5,49.98,0.18617099523544312,0.010869644,-0.006774169558775611,1412.3106334686279,0.0003,-1.7632956866174936,731.4744873046875,0.05869140625,0.2,540
56,549,114688,208,-97.0,49.98,0.23045313358306885,0.013780442,-0.007366158769582398,1272.9768213272096,0.0003,-1.7818222768604755,534.7802734375,0.05908203125,0.2,550
57,549,116736,212,-94.5,49.98,0.19811326265335083,0.006224638,-0.0035877631307812408,1336.6024435043335,0.0003,-1.78036729991436,616.2392578125,0.01953125,0.2,560
58,549,118784,215,-93.0,50.0,0.21077316999435425,0.0074229958,-0.0053480057133128865,1360.777603340149,0.0003,-1.776160477101803,595.44189453125,0.03046875,0.2,570
59,550,120832,219,-97.0,50.0,0.26599764823913574,0.0074528586,-0.004327720521541778,1238.2657144546508,0.0003,-1.7826535299420356,358.5171813964844,0.01845703125,0.2,580
60,550,122880,223,-98.0,50.0,0.24645745754241943,0.008545728,-0.0039432208839571105,1328.9494859695435,0.0003,-1.7628435280174017,888.1097412109375,0.02412109375,0.2,590
61,550,124928,227,-96.0,49.98,0.22881174087524414,0.009626551,-0.009534333844203501,1425.5931636810303,0.0003,-1.7098699178546668,675.4935302734375,0.084423828125,0.2,600
62,549,126976,230,-94.0,49.98,0.18617886304855347,0.011878345,-0.009104366510291584,1454.6132146835328,0.0003,-1.707385566085577,723.9182739257812,0.088916015625,0.2,610
63,549,129024,234,-93.0,50.0,0.21725529432296753,0.0102610625,-0.007538917267811485,1347.6108947753905,0.0003,-1.6484594132751227,745.2952270507812,0.0693359375,0.2,620
64,549,131072,238,-90.98,49.98,0.26968276500701904,0.00481766,-0.00692098674189765,1338.957194519043,0.0003,-1.65471311211586,842.7906494140625,0.051806640625,0.2,630
65,549,133120,242,-93.98,49.89,0.09345060586929321,0.0063660825,-0.005232487054308876,2036.9987535476685,0.0003,-1.6526025515049696,698.771484375,0.0447265625,0.2,640
66,549,135168,246,-99.0,49.91,0.2587076425552368,0.0073802974,-0.005723806694732048,1334.4732446670532,0.0003,-1.5794578842818736,718.3458251953125,0.04951171875,0.2,650
67,549,137216,249,-99.5,50.0,0.11780095100402832,0.002765039,-0.0035795151226921005,1355.850574684143,0.0003,-1.5821084313094615,749.0178833007812,0.059716796875,0.2,660
68,549,139264,253,-98.5,50.0,0.19897133111953735,0.01333134,-0.007406761834863574,1381.5162162780762,0.0003,-1.6634593710303307,721.0973510742188,0.07900390625,0.2,670
69,549,141312,257,-98.5,50.0,0.1745438575744629,0.011224067,-0.008218189483159222,1361.1976482391358,0.0003,-1.6363081276416778,633.9383544921875,0.07822265625,0.2,680
70,549,143360,261,-99.0,50.0,0.16591399908065796,0.011202483,-0.00384444750379771,1366.5366193771363,0.0003,-1.6128608617931603,815.210693359375,0.073486328125,0.2,690
